net,wires
"(24,21)","[(3,10,0),(np.int64(3),np.int64(11),np.int64(0)),(np.int64(3),np.int64(12),np.int64(0)),(np.int64(2),np.int64(12),np.int64(0)),(np.int64(1),np.int64(12),np.int64(0)),(1,11,0)]"
"(14,20)","[(3,10,0),(np.int64(4),np.int64(10),np.int64(0)),(np.int64(5),np.int64(10),np.int64(0)),(np.int64(6),np.int64(10),np.int64(0)),(np.int64(7),np.int64(10),np.int64(0)),(np.int64(8),np.int64(10),np.int64(0)),(np.int64(9),np.int64(10),np.int64(0)),(np.int64(10),np.int64(10),np.int64(0)),(np.int64(11),np.int64(10),np.int64(0)),(np.int64(11),np.int64(11),np.int64(0)),(np.int64(12),np.int64(11),np.int64(0)),(np.int64(13),np.int64(11),np.int64(0)),(np.int64(14),np.int64(11),np.int64(0)),(15,11,0)]"
"(5,1)","[(11,7,0),(np.int64(12),np.int64(7),np.int64(0)),(np.int64(13),np.int64(7),np.int64(0)),(np.int64(14),np.int64(7),np.int64(0)),(np.int64(15),np.int64(7),np.int64(0)),(16,7,0)]"
"(19,14)","[(8,8,0),(np.int64(7),np.int64(8),np.int64(0)),(np.int64(7),np.int64(8),np.int64(1)),(np.int64(6),np.int64(8),np.int64(1)),(np.int64(6),np.int64(8),np.int64(2)),(np.int64(6),np.int64(7),np.int64(2)),(np.int64(6),np.int64(7),np.int64(3)),(np.int64(5),np.int64(7),np.int64(3)),(np.int64(4),np.int64(7),np.int64(3)),(np.int64(3),np.int64(7),np.int64(3)),(np.int64(2),np.int64(7),np.int64(3)),(np.int64(1),np.int64(7),np.int64(3)),(np.int64(1),np.int64(6),np.int64(3)),(np.int64(1),np.int64(5),np.int64(3)),(np.int64(1),np.int64(4),np.int64(3)),(np.int64(1),np.int64(3),np.int64(3)),(np.int64(1),np.int64(2),np.int64(3)),(np.int64(1),np.int64(1),np.int64(3)),(np.int64(1),np.int64(1),np.int64(2)),(np.int64(1),np.int64(1),np.int64(1)),(1,1,0)]"
"(12,8)","[(8,8,0),(np.int64(9),np.int64(8),np.int64(0)),(np.int64(9),np.int64(8),np.int64(1)),(np.int64(9),np.int64(8),np.int64(2)),(np.int64(9),np.int64(7),np.int64(2)),(np.int64(9),np.int64(6),np.int64(2)),(np.int64(9),np.int64(6),np.int64(1)),(np.int64(9),np.int64(5),np.int64(1)),(np.int64(9),np.int64(4),np.int64(1)),(np.int64(10),np.int64(4),np.int64(1)),(np.int64(11),np.int64(4),np.int64(1)),(11,4,0)]"
"(3,6)","[(16,7,0),(np.int64(16),np.int64(8),np.int64(0)),(np.int64(15),np.int64(8),np.int64(0)),(np.int64(14),np.int64(8),np.int64(0)),(np.int64(13),np.int64(8),np.int64(0)),(np.int64(13),np.int64(7),np.int64(0)),(np.int64(13),np.int64(6),np.int64(0)),(13,5,0)]"
"(11,5)","[(15,11,0),(np.int64(15),np.int64(12),np.int64(0)),(np.int64(14),np.int64(12),np.int64(0)),(np.int64(14),np.int64(12),np.int64(1)),(np.int64(13),np.int64(12),np.int64(1)),(np.int64(12),np.int64(12),np.int64(1)),(np.int64(12),np.int64(12),np.int64(2)),(np.int64(11),np.int64(12),np.int64(2)),(np.int64(10),np.int64(12),np.int64(2)),(np.int64(9),np.int64(12),np.int64(2)),(np.int64(8),np.int64(12),np.int64(2)),(np.int64(7),np.int64(12),np.int64(2)),(np.int64(6),np.int64(12),np.int64(2)),(np.int64(5),np.int64(12),np.int64(2)),(np.int64(4),np.int64(12),np.int64(2)),(np.int64(3),np.int64(12),np.int64(2)),(np.int64(2),np.int64(12),np.int64(2)),(np.int64(1),np.int64(12),np.int64(2)),(np.int64(1),np.int64(11),np.int64(2)),(np.int64(1),np.int64(11),np.int64(1)),(1,11,0)]"
"(23,19)","[(9,2,0),(np.int64(10),np.int64(2),np.int64(0)),(np.int64(11),np.int64(2),np.int64(0)),(np.int64(11),np.int64(3),np.int64(0)),(11,4,0)]"
"(14,12)","[(12,1,0),(np.int64(13),np.int64(1),np.int64(0)),(np.int64(14),np.int64(1),np.int64(0)),(np.int64(15),np.int64(1),np.int64(0)),(np.int64(16),np.int64(1),np.int64(0)),(np.int64(17),np.int64(1),np.int64(0)),(np.int64(17),np.int64(2),np.int64(0)),(np.int64(16),np.int64(2),np.int64(0)),(np.int64(16),np.int64(3),np.int64(0)),(np.int64(16),np.int64(4),np.int64(0)),(np.int64(16),np.int64(4),np.int64(1)),(np.int64(16),np.int64(5),np.int64(1)),(np.int64(16),np.int64(6),np.int64(1)),(np.int64(16),np.int64(6),np.int64(2)),(np.int64(16),np.int64(7),np.int64(2)),(np.int64(16),np.int64(7),np.int64(1)),(16,7,0)]"
"(16,11)","[(16,5,0),(np.int64(17),np.int64(5),np.int64(0)),(np.int64(17),np.int64(4),np.int64(0)),(np.int64(17),np.int64(4),np.int64(1)),(np.int64(17),np.int64(4),np.int64(2)),(np.int64(17),np.int64(5),np.int64(2)),(np.int64(17),np.int64(6),np.int64(2)),(np.int64(17),np.int64(7),np.int64(2)),(np.int64(17),np.int64(8),np.int64(2)),(np.int64(16),np.int64(8),np.int64(2)),(np.int64(15),np.int64(8),np.int64(2)),(np.int64(15),np.int64(9),np.int64(2)),(np.int64(15),np.int64(10),np.int64(2)),(np.int64(15),np.int64(10),np.int64(1)),(np.int64(15),np.int64(10),np.int64(0)),(14,10,0)]"
