net,wires
"(18,26)","[(15,10,0),(np.int64(15),np.int64(10),np.int64(1)),(np.int64(15),np.int64(10),np.int64(2)),(np.int64(15),np.int64(9),np.int64(2)),(np.int64(15),np.int64(8),np.int64(2)),(np.int64(15),np.int64(7),np.int64(2)),(np.int64(16),np.int64(7),np.int64(2)),(np.int64(16),np.int64(7),np.int64(3)),(np.int64(16),np.int64(6),np.int64(3)),(np.int64(16),np.int64(5),np.int64(3)),(np.int64(16),np.int64(4),np.int64(3)),(np.int64(16),np.int64(3),np.int64(3)),(np.int64(16),np.int64(2),np.int64(3)),(np.int64(16),np.int64(1),np.int64(3)),(np.int64(16),np.int64(1),np.int64(2)),(np.int64(16),np.int64(1),np.int64(1)),(16,1,0)]"
"(29,28)","[(4,4,0),(np.int64(4),np.int64(3),np.int64(0)),(np.int64(5),np.int64(3),np.int64(0)),(np.int64(5),np.int64(3),np.int64(1)),(np.int64(5),np.int64(3),np.int64(2)),(np.int64(5),np.int64(3),np.int64(3)),(np.int64(5),np.int64(3),np.int64(4)),(np.int64(5),np.int64(4),np.int64(4)),(np.int64(5),np.int64(5),np.int64(4)),(np.int64(5),np.int64(6),np.int64(4)),(np.int64(5),np.int64(6),np.int64(5)),(np.int64(5),np.int64(7),np.int64(5)),(np.int64(5),np.int64(8),np.int64(5)),(np.int64(5),np.int64(9),np.int64(5)),(np.int64(5),np.int64(10),np.int64(5)),(np.int64(5),np.int64(11),np.int64(5)),(np.int64(5),np.int64(12),np.int64(5)),(np.int64(6),np.int64(12),np.int64(5)),(np.int64(7),np.int64(12),np.int64(5)),(np.int64(8),np.int64(12),np.int64(5)),(np.int64(9),np.int64(12),np.int64(5)),(np.int64(10),np.int64(12),np.int64(5)),(np.int64(10),np.int64(12),np.int64(4)),(np.int64(10),np.int64(12),np.int64(3)),(np.int64(10),np.int64(12),np.int64(2)),(np.int64(10),np.int64(12),np.int64(1)),(np.int64(10),np.int64(12),np.int64(0)),(np.int64(10),np.int64(13),np.int64(0)),(np.int64(10),np.int64(14),np.int64(0)),(10,15,0)]"
"(15,5)","[(6,7,0),(np.int64(5),np.int64(7),np.int64(0)),(np.int64(5),np.int64(8),np.int64(0)),(np.int64(5),np.int64(8),np.int64(1)),(np.int64(5),np.int64(8),np.int64(2)),(np.int64(6),np.int64(8),np.int64(2)),(np.int64(6),np.int64(8),np.int64(3)),(np.int64(7),np.int64(8),np.int64(3)),(np.int64(8),np.int64(8),np.int64(3)),(np.int64(8),np.int64(8),np.int64(2)),(np.int64(9),np.int64(8),np.int64(2)),(np.int64(10),np.int64(8),np.int64(2)),(np.int64(10),np.int64(8),np.int64(1)),(np.int64(11),np.int64(8),np.int64(1)),(11,8,0)]"
"(13,15)","[(2,4,0),(np.int64(3),np.int64(4),np.int64(0)),(np.int64(3),np.int64(5),np.int64(0)),(np.int64(3),np.int64(6),np.int64(0)),(np.int64(4),np.int64(6),np.int64(0)),(np.int64(5),np.int64(6),np.int64(0)),(np.int64(6),np.int64(6),np.int64(0)),(np.int64(6),np.int64(6),np.int64(1)),(np.int64(6),np.int64(7),np.int64(1)),(np.int64(6),np.int64(8),np.int64(1)),(6,8,0)]"
"(13,2)","[(6,8,0),(np.int64(5),np.int64(8),np.int64(0)),(np.int64(5),np.int64(9),np.int64(0)),(np.int64(5),np.int64(9),np.int64(1)),(np.int64(5),np.int64(9),np.int64(2)),(np.int64(5),np.int64(9),np.int64(3)),(np.int64(6),np.int64(9),np.int64(3)),(np.int64(7),np.int64(9),np.int64(3)),(np.int64(8),np.int64(9),np.int64(3)),(np.int64(8),np.int64(9),np.int64(4)),(np.int64(8),np.int64(9),np.int64(5)),(np.int64(9),np.int64(9),np.int64(5)),(np.int64(10),np.int64(9),np.int64(5)),(np.int64(11),np.int64(9),np.int64(5)),(np.int64(12),np.int64(9),np.int64(5)),(np.int64(13),np.int64(9),np.int64(5)),(np.int64(14),np.int64(9),np.int64(5)),(np.int64(14),np.int64(9),np.int64(4)),(np.int64(14),np.int64(9),np.int64(3)),(np.int64(14),np.int64(9),np.int64(2)),(np.int64(14),np.int64(9),np.int64(1)),(np.int64(14),np.int64(9),np.int64(0)),(13,9,0)]"
"(3,4)","[(9,6,0),(np.int64(10),np.int64(6),np.int64(0)),(np.int64(11),np.int64(6),np.int64(0)),(np.int64(12),np.int64(6),np.int64(0)),(np.int64(13),np.int64(6),np.int64(0)),(np.int64(14),np.int64(6),np.int64(0)),(np.int64(15),np.int64(6),np.int64(0)),(np.int64(16),np.int64(6),np.int64(0)),(np.int64(16),np.int64(7),np.int64(0)),(np.int64(16),np.int64(8),np.int64(0)),(15,8,0)]"
"(22,7)","[(16,11,0),(np.int64(16),np.int64(10),np.int64(0)),(16,9,0)]"
"(32,12)","[(10,15,0),(np.int64(11),np.int64(15),np.int64(0)),(np.int64(12),np.int64(15),np.int64(0)),(np.int64(13),np.int64(15),np.int64(0)),(np.int64(14),np.int64(15),np.int64(0)),(15,15,0)]"
"(33,30)","[(12,14,0),(np.int64(12),np.int64(14),np.int64(1)),(np.int64(11),np.int64(14),np.int64(1)),(np.int64(10),np.int64(14),np.int64(1)),(np.int64(10),np.int64(14),np.int64(2)),(np.int64(10),np.int64(15),np.int64(2)),(np.int64(9),np.int64(15),np.int64(2)),(np.int64(8),np.int64(15),np.int64(2)),(np.int64(8),np.int64(16),np.int64(2)),(np.int64(7),np.int64(16),np.int64(2)),(np.int64(6),np.int64(16),np.int64(2)),(np.int64(5),np.int64(16),np.int64(2)),(np.int64(4),np.int64(16),np.int64(2)),(np.int64(3),np.int64(16),np.int64(2)),(np.int64(2),np.int64(16),np.int64(2)),(np.int64(1),np.int64(16),np.int64(2)),(np.int64(1),np.int64(15),np.int64(2)),(np.int64(1),np.int64(14),np.int64(2)),(np.int64(1),np.int64(13),np.int64(2)),(np.int64(1),np.int64(12),np.int64(2)),(np.int64(1),np.int64(11),np.int64(2)),(np.int64(1),np.int64(10),np.int64(2)),(np.int64(1),np.int64(9),np.int64(2)),(np.int64(1),np.int64(8),np.int64(2)),(np.int64(1),np.int64(7),np.int64(2)),(np.int64(1),np.int64(7),np.int64(1)),(1,7,0)]"
"(30,10)","[(4,11,0),(np.int64(4),np.int64(10),np.int64(0)),(np.int64(4),np.int64(10),np.int64(1)),(np.int64(5),np.int64(10),np.int64(1)),(np.int64(5),np.int64(10),np.int64(2)),(np.int64(5),np.int64(11),np.int64(2)),(np.int64(5),np.int64(12),np.int64(2)),(np.int64(5),np.int64(12),np.int64(3)),(np.int64(5),np.int64(13),np.int64(3)),(np.int64(5),np.int64(14),np.int64(3)),(np.int64(6),np.int64(14),np.int64(3)),(np.int64(7),np.int64(14),np.int64(3)),(np.int64(8),np.int64(14),np.int64(3)),(np.int64(9),np.int64(14),np.int64(3)),(np.int64(10),np.int64(14),np.int64(3)),(np.int64(11),np.int64(14),np.int64(3)),(np.int64(11),np.int64(14),np.int64(2)),(np.int64(12),np.int64(14),np.int64(2)),(np.int64(13),np.int64(14),np.int64(2)),(np.int64(13),np.int64(14),np.int64(1)),(np.int64(14),np.int64(14),np.int64(1)),(14,14,0)]"
