net,wires
"(6,8)","[(15,11,0),(np.int64(16),np.int64(11),np.int64(0)),(np.int64(16),np.int64(12),np.int64(0)),(np.int64(16),np.int64(12),np.int64(1)),(np.int64(16),np.int64(12),np.int64(2)),(np.int64(15),np.int64(12),np.int64(2)),(np.int64(14),np.int64(12),np.int64(2)),(np.int64(13),np.int64(12),np.int64(2)),(np.int64(12),np.int64(12),np.int64(2)),(np.int64(12),np.int64(12),np.int64(3)),(np.int64(11),np.int64(12),np.int64(3)),(np.int64(10),np.int64(12),np.int64(3)),(np.int64(9),np.int64(12),np.int64(3)),(np.int64(8),np.int64(12),np.int64(3)),(np.int64(7),np.int64(12),np.int64(3)),(np.int64(6),np.int64(12),np.int64(3)),(np.int64(5),np.int64(12),np.int64(3)),(np.int64(4),np.int64(12),np.int64(3)),(np.int64(3),np.int64(12),np.int64(3)),(np.int64(2),np.int64(12),np.int64(3)),(np.int64(1),np.int64(12),np.int64(3)),(np.int64(0),np.int64(12),np.int64(3)),(np.int64(0),np.int64(11),np.int64(3)),(np.int64(0),np.int64(11),np.int64(2)),(np.int64(0),np.int64(11),np.int64(1)),(np.int64(1),np.int64(11),np.int64(1)),(1,11,0)]"
"(16,22)","[(12,9,0),(np.int64(13),np.int64(9),np.int64(0)),(np.int64(13),np.int64(8),np.int64(0)),(np.int64(13),np.int64(8),np.int64(1)),(np.int64(13),np.int64(8),np.int64(2)),(np.int64(12),np.int64(8),np.int64(2)),(np.int64(11),np.int64(8),np.int64(2)),(np.int64(11),np.int64(7),np.int64(2)),(np.int64(11),np.int64(7),np.int64(3)),(np.int64(10),np.int64(7),np.int64(3)),(np.int64(9),np.int64(7),np.int64(3)),(np.int64(8),np.int64(7),np.int64(3)),(np.int64(7),np.int64(7),np.int64(3)),(np.int64(6),np.int64(7),np.int64(3)),(np.int64(5),np.int64(7),np.int64(3)),(np.int64(4),np.int64(7),np.int64(3)),(np.int64(3),np.int64(7),np.int64(3)),(np.int64(2),np.int64(7),np.int64(3)),(np.int64(1),np.int64(7),np.int64(3)),(np.int64(0),np.int64(7),np.int64(3)),(np.int64(0),np.int64(7),np.int64(2)),(np.int64(0),np.int64(7),np.int64(1)),(np.int64(0),np.int64(7),np.int64(0)),(1,7,0)]"
"(14,19)","[(14,10,0),(np.int64(15),np.int64(10),np.int64(0)),(np.int64(16),np.int64(10),np.int64(0)),(np.int64(17),np.int64(10),np.int64(0)),(np.int64(17),np.int64(9),np.int64(0)),(np.int64(17),np.int64(8),np.int64(0)),(np.int64(17),np.int64(7),np.int64(0)),(np.int64(17),np.int64(6),np.int64(0)),(np.int64(16),np.int64(6),np.int64(0)),(16,5,0)]"
"(4,6)","[(4,7,0),(np.int64(4),np.int64(8),np.int64(0)),(np.int64(4),np.int64(8),np.int64(1)),(np.int64(4),np.int64(9),np.int64(1)),(np.int64(4),np.int64(9),np.int64(2)),(np.int64(4),np.int64(9),np.int64(3)),(np.int64(3),np.int64(9),np.int64(3)),(np.int64(2),np.int64(9),np.int64(3)),(np.int64(1),np.int64(9),np.int64(3)),(np.int64(0),np.int64(9),np.int64(3)),(np.int64(0),np.int64(10),np.int64(3)),(np.int64(0),np.int64(10),np.int64(2)),(np.int64(0),np.int64(10),np.int64(1)),(np.int64(1),np.int64(10),np.int64(1)),(np.int64(1),np.int64(10),np.int64(0)),(np.int64(2),np.int64(10),np.int64(0)),(3,10,0)]"
"(11,5)","[(1,1,0),(np.int64(2),np.int64(1),np.int64(0)),(np.int64(3),np.int64(1),np.int64(0)),(np.int64(4),np.int64(1),np.int64(0)),(np.int64(5),np.int64(1),np.int64(0)),(np.int64(6),np.int64(1),np.int64(0)),(np.int64(7),np.int64(1),np.int64(0)),(np.int64(7),np.int64(1),np.int64(1)),(np.int64(7),np.int64(1),np.int64(2)),(np.int64(7),np.int64(2),np.int64(2)),(np.int64(7),np.int64(3),np.int64(2)),(np.int64(7),np.int64(4),np.int64(2)),(np.int64(7),np.int64(5),np.int64(2)),(np.int64(7),np.int64(6),np.int64(2)),(np.int64(7),np.int64(7),np.int64(2)),(np.int64(7),np.int64(7),np.int64(1)),(np.int64(8),np.int64(7),np.int64(1)),(np.int64(8),np.int64(7),np.int64(0)),(8,8,0)]"
"(2,1)","[(9,2,0),(np.int64(10),np.int64(2),np.int64(0)),(np.int64(11),np.int64(2),np.int64(0)),(np.int64(11),np.int64(2),np.int64(1)),(np.int64(11),np.int64(3),np.int64(1)),(np.int64(11),np.int64(4),np.int64(1)),(np.int64(11),np.int64(5),np.int64(1)),(np.int64(11),np.int64(5),np.int64(0)),(np.int64(11),np.int64(6),np.int64(0)),(11,7,0)]"
"(8,14)","[(15,4,0),(np.int64(15),np.int64(5),np.int64(0)),(np.int64(15),np.int64(6),np.int64(0)),(np.int64(14),np.int64(6),np.int64(0)),(np.int64(14),np.int64(7),np.int64(0)),(np.int64(14),np.int64(8),np.int64(0)),(np.int64(14),np.int64(9),np.int64(0)),(np.int64(14),np.int64(9),np.int64(1)),(np.int64(13),np.int64(9),np.int64(1)),(np.int64(13),np.int64(9),np.int64(2)),(np.int64(12),np.int64(9),np.int64(2)),(np.int64(11),np.int64(9),np.int64(2)),(np.int64(11),np.int64(9),np.int64(3)),(np.int64(10),np.int64(9),np.int64(3)),(np.int64(9),np.int64(9),np.int64(3)),(np.int64(9),np.int64(10),np.int64(3)),(np.int64(9),np.int64(11),np.int64(3)),(np.int64(9),np.int64(11),np.int64(2)),(np.int64(9),np.int64(11),np.int64(1)),(np.int64(9),np.int64(10),np.int64(1)),(np.int64(10),np.int64(10),np.int64(1)),(np.int64(11),np.int64(10),np.int64(1)),(np.int64(12),np.int64(10),np.int64(1)),(12,10,0)]"
"(23,17)","[(2,4,0),(np.int64(3),np.int64(4),np.int64(0)),(np.int64(4),np.int64(4),np.int64(0)),(np.int64(4),np.int64(3),np.int64(0)),(np.int64(4),np.int64(2),np.int64(0)),(np.int64(4),np.int64(2),np.int64(1)),(np.int64(5),np.int64(2),np.int64(1)),(np.int64(6),np.int64(2),np.int64(1)),(np.int64(7),np.int64(2),np.int64(1)),(np.int64(8),np.int64(2),np.int64(1)),(np.int64(8),np.int64(2),np.int64(2)),(np.int64(8),np.int64(3),np.int64(2)),(np.int64(8),np.int64(4),np.int64(2)),(np.int64(8),np.int64(5),np.int64(2)),(np.int64(8),np.int64(6),np.int64(2)),(np.int64(8),np.int64(7),np.int64(2)),(np.int64(8),np.int64(8),np.int64(2)),(np.int64(8),np.int64(8),np.int64(1)),(8,8,0)]"
"(23,14)","[(12,9,0),(np.int64(12),np.int64(8),np.int64(0)),(np.int64(12),np.int64(7),np.int64(0)),(np.int64(13),np.int64(7),np.int64(0)),(np.int64(13),np.int64(6),np.int64(0)),(13,5,0)]"
"(16,18)","[(2,4,0),(np.int64(2),np.int64(5),np.int64(0)),(np.int64(3),np.int64(5),np.int64(0)),(np.int64(4),np.int64(5),np.int64(0)),(np.int64(5),np.int64(5),np.int64(0)),(np.int64(5),np.int64(6),np.int64(0)),(np.int64(6),np.int64(6),np.int64(0)),(np.int64(7),np.int64(6),np.int64(0)),(np.int64(8),np.int64(6),np.int64(0)),(np.int64(9),np.int64(6),np.int64(0)),(np.int64(10),np.int64(6),np.int64(0)),(np.int64(10),np.int64(7),np.int64(0)),(np.int64(10),np.int64(8),np.int64(0)),(np.int64(10),np.int64(9),np.int64(0)),(np.int64(11),np.int64(9),np.int64(0)),(np.int64(11),np.int64(10),np.int64(0)),(12,10,0)]"
