net,wires
"(18,26)","[(8,12,0),(np.int64(8),np.int64(11),np.int64(0)),(np.int64(8),np.int64(11),np.int64(1)),(np.int64(8),np.int64(11),np.int64(2)),(np.int64(7),np.int64(11),np.int64(2)),(np.int64(6),np.int64(11),np.int64(2)),(np.int64(6),np.int64(10),np.int64(2)),(np.int64(5),np.int64(10),np.int64(2)),(np.int64(4),np.int64(10),np.int64(2)),(np.int64(4),np.int64(10),np.int64(1)),(np.int64(4),np.int64(10),np.int64(0)),(4,11,0)]"
"(29,28)","[(15,4,0),(np.int64(14),np.int64(4),np.int64(0)),(np.int64(14),np.int64(3),np.int64(0)),(np.int64(14),np.int64(3),np.int64(1)),(np.int64(14),np.int64(3),np.int64(2)),(np.int64(13),np.int64(3),np.int64(2)),(np.int64(12),np.int64(3),np.int64(2)),(np.int64(11),np.int64(3),np.int64(2)),(np.int64(10),np.int64(3),np.int64(2)),(np.int64(10),np.int64(4),np.int64(2)),(np.int64(10),np.int64(5),np.int64(2)),(np.int64(10),np.int64(6),np.int64(2)),(np.int64(10),np.int64(7),np.int64(2)),(np.int64(10),np.int64(8),np.int64(2)),(np.int64(10),np.int64(9),np.int64(2)),(np.int64(9),np.int64(9),np.int64(2)),(np.int64(9),np.int64(9),np.int64(1)),(np.int64(9),np.int64(10),np.int64(1)),(np.int64(9),np.int64(11),np.int64(1)),(np.int64(9),np.int64(11),np.int64(0)),(10,11,0)]"
"(15,5)","[(11,1,0),(np.int64(11),np.int64(2),np.int64(0)),(np.int64(12),np.int64(2),np.int64(0)),(np.int64(13),np.int64(2),np.int64(0)),(np.int64(14),np.int64(2),np.int64(0)),(np.int64(15),np.int64(2),np.int64(0)),(np.int64(15),np.int64(3),np.int64(0)),(np.int64(15),np.int64(3),np.int64(1)),(np.int64(15),np.int64(3),np.int64(2)),(np.int64(15),np.int64(4),np.int64(2)),(np.int64(15),np.int64(5),np.int64(2)),(np.int64(14),np.int64(5),np.int64(2)),(np.int64(14),np.int64(6),np.int64(2)),(np.int64(14),np.int64(7),np.int64(2)),(np.int64(14),np.int64(8),np.int64(2)),(np.int64(14),np.int64(9),np.int64(2)),(np.int64(14),np.int64(9),np.int64(1)),(np.int64(14),np.int64(9),np.int64(0)),(np.int64(14),np.int64(10),np.int64(0)),(15,10,0)]"
"(13,15)","[(1,7,0),(np.int64(1),np.int64(6),np.int64(0)),(np.int64(0),np.int64(6),np.int64(0)),(np.int64(0),np.int64(6),np.int64(1)),(np.int64(0),np.int64(6),np.int64(2)),(np.int64(0),np.int64(6),np.int64(3)),(np.int64(1),np.int64(6),np.int64(3)),(np.int64(1),np.int64(6),np.int64(4)),(np.int64(2),np.int64(6),np.int64(4)),(np.int64(3),np.int64(6),np.int64(4)),(np.int64(4),np.int64(6),np.int64(4)),(np.int64(5),np.int64(6),np.int64(4)),(np.int64(6),np.int64(6),np.int64(4)),(np.int64(7),np.int64(6),np.int64(4)),(np.int64(7),np.int64(6),np.int64(5)),(np.int64(8),np.int64(6),np.int64(5)),(np.int64(9),np.int64(6),np.int64(5)),(np.int64(10),np.int64(6),np.int64(5)),(np.int64(11),np.int64(6),np.int64(5)),(np.int64(11),np.int64(6),np.int64(4)),(np.int64(12),np.int64(6),np.int64(4)),(np.int64(13),np.int64(6),np.int64(4)),(np.int64(14),np.int64(6),np.int64(4)),(np.int64(14),np.int64(6),np.int64(3)),(np.int64(15),np.int64(6),np.int64(3)),(np.int64(15),np.int64(6),np.int64(2)),(np.int64(15),np.int64(7),np.int64(2)),(np.int64(15),np.int64(8),np.int64(2)),(np.int64(16),np.int64(8),np.int64(2)),(np.int64(16),np.int64(8),np.int64(1)),(np.int64(16),np.int64(9),np.int64(1)),(16,9,0)]"
"(13,2)","[(4,4,0),(np.int64(5),np.int64(4),np.int64(0)),(np.int64(6),np.int64(4),np.int64(0)),(np.int64(6),np.int64(5),np.int64(0)),(np.int64(6),np.int64(6),np.int64(0)),(np.int64(6),np.int64(6),np.int64(1)),(np.int64(6),np.int64(6),np.int64(2)),(np.int64(6),np.int64(6),np.int64(3)),(np.int64(6),np.int64(7),np.int64(3)),(np.int64(6),np.int64(8),np.int64(3)),(np.int64(6),np.int64(9),np.int64(3)),(np.int64(6),np.int64(10),np.int64(3)),(np.int64(6),np.int64(11),np.int64(3)),(np.int64(7),np.int64(11),np.int64(3)),(np.int64(8),np.int64(11),np.int64(3)),(np.int64(9),np.int64(11),np.int64(3)),(np.int64(10),np.int64(11),np.int64(3)),(np.int64(10),np.int64(12),np.int64(3)),(np.int64(10),np.int64(13),np.int64(3)),(np.int64(10),np.int64(13),np.int64(2)),(np.int64(10),np.int64(13),np.int64(1)),(np.int64(10),np.int64(14),np.int64(1)),(np.int64(10),np.int64(15),np.int64(1)),(10,15,0)]"
"(3,4)","[(9,8,0),(np.int64(9),np.int64(9),np.int64(0)),(np.int64(8),np.int64(9),np.int64(0)),(np.int64(7),np.int64(9),np.int64(0)),(7,8,0)]"
"(22,7)","[(12,5,0),(np.int64(11),np.int64(5),np.int64(0)),(np.int64(11),np.int64(4),np.int64(0)),(np.int64(11),np.int64(3),np.int64(0)),(np.int64(11),np.int64(3),np.int64(1)),(np.int64(11),np.int64(2),np.int64(1)),(np.int64(10),np.int64(2),np.int64(1)),(np.int64(9),np.int64(2),np.int64(1)),(np.int64(8),np.int64(2),np.int64(1)),(np.int64(7),np.int64(2),np.int64(1)),(np.int64(7),np.int64(1),np.int64(1)),(np.int64(6),np.int64(1),np.int64(1)),(6,1,0)]"
"(32,12)","[(15,10,0),(np.int64(15),np.int64(10),np.int64(1)),(np.int64(16),np.int64(10),np.int64(1)),(np.int64(17),np.int64(10),np.int64(1)),(np.int64(17),np.int64(9),np.int64(1)),(np.int64(17),np.int64(8),np.int64(1)),(np.int64(17),np.int64(7),np.int64(1)),(np.int64(17),np.int64(6),np.int64(1)),(np.int64(17),np.int64(5),np.int64(1)),(np.int64(17),np.int64(4),np.int64(1)),(np.int64(16),np.int64(4),np.int64(1)),(np.int64(16),np.int64(3),np.int64(1)),(np.int64(16),np.int64(2),np.int64(1)),(np.int64(16),np.int64(2),np.int64(0)),(16,1,0)]"
"(33,30)","[(15,4,0),(np.int64(15),np.int64(5),np.int64(0)),(np.int64(14),np.int64(5),np.int64(0)),(np.int64(13),np.int64(5),np.int64(0)),(np.int64(13),np.int64(4),np.int64(0)),(np.int64(13),np.int64(4),np.int64(1)),(np.int64(13),np.int64(4),np.int64(2)),(np.int64(12),np.int64(4),np.int64(2)),(np.int64(11),np.int64(4),np.int64(2)),(np.int64(11),np.int64(4),np.int64(3)),(np.int64(11),np.int64(4),np.int64(4)),(np.int64(10),np.int64(4),np.int64(4)),(np.int64(9),np.int64(4),np.int64(4)),(np.int64(8),np.int64(4),np.int64(4)),(np.int64(7),np.int64(4),np.int64(4)),(np.int64(6),np.int64(4),np.int64(4)),(np.int64(5),np.int64(4),np.int64(4)),(np.int64(4),np.int64(4),np.int64(4)),(np.int64(3),np.int64(4),np.int64(4)),(np.int64(2),np.int64(4),np.int64(4)),(np.int64(2),np.int64(4),np.int64(3)),(np.int64(2),np.int64(5),np.int64(3)),(np.int64(2),np.int64(6),np.int64(3)),(np.int64(2),np.int64(7),np.int64(3)),(np.int64(2),np.int64(8),np.int64(3)),(np.int64(2),np.int64(9),np.int64(3)),(np.int64(2),np.int64(10),np.int64(3)),(np.int64(2),np.int64(10),np.int64(2)),(np.int64(2),np.int64(10),np.int64(1)),(2,10,0)]"
"(30,10)","[(6,13,0),(np.int64(6),np.int64(12),np.int64(0)),(np.int64(6),np.int64(11),np.int64(0)),(np.int64(7),np.int64(11),np.int64(0)),(np.int64(7),np.int64(11),np.int64(1)),(np.int64(7),np.int64(10),np.int64(1)),(np.int64(7),np.int64(10),np.int64(2)),(np.int64(7),np.int64(9),np.int64(2)),(np.int64(7),np.int64(8),np.int64(2)),(np.int64(8),np.int64(8),np.int64(2)),(np.int64(9),np.int64(8),np.int64(2)),(np.int64(9),np.int64(8),np.int64(1)),(9,8,0)]"
"(49,25)","[(2,4,0),(np.int64(2),np.int64(5),np.int64(0)),(np.int64(3),np.int64(5),np.int64(0)),(np.int64(4),np.int64(5),np.int64(0)),(np.int64(4),np.int64(6),np.int64(0)),(np.int64(4),np.int64(7),np.int64(0)),(np.int64(4),np.int64(8),np.int64(0)),(np.int64(4),np.int64(9),np.int64(0)),(np.int64(5),np.int64(9),np.int64(0)),(np.int64(5),np.int64(10),np.int64(0)),(np.int64(6),np.int64(10),np.int64(0)),(7,10,0)]"
"(21,41)","[(4,11,0),(np.int64(5),np.int64(11),np.int64(0)),(np.int64(5),np.int64(11),np.int64(1)),(np.int64(5),np.int64(11),np.int64(2)),(np.int64(5),np.int64(11),np.int64(3)),(np.int64(5),np.int64(11),np.int64(4)),(np.int64(5),np.int64(12),np.int64(4)),(np.int64(5),np.int64(13),np.int64(4)),(np.int64(5),np.int64(14),np.int64(4)),(np.int64(6),np.int64(14),np.int64(4)),(np.int64(7),np.int64(14),np.int64(4)),(np.int64(8),np.int64(14),np.int64(4)),(np.int64(9),np.int64(14),np.int64(4)),(np.int64(10),np.int64(14),np.int64(4)),(np.int64(11),np.int64(14),np.int64(4)),(np.int64(12),np.int64(14),np.int64(4)),(np.int64(13),np.int64(14),np.int64(4)),(np.int64(14),np.int64(14),np.int64(4)),(np.int64(14),np.int64(14),np.int64(3)),(np.int64(14),np.int64(14),np.int64(2)),(np.int64(14),np.int64(14),np.int64(1)),(14,14,0)]"
"(27,25)","[(11,8,0),(np.int64(11),np.int64(8),np.int64(1)),(np.int64(11),np.int64(9),np.int64(1)),(np.int64(11),np.int64(10),np.int64(1)),(np.int64(11),np.int64(11),np.int64(1)),(np.int64(11),np.int64(11),np.int64(2)),(np.int64(11),np.int64(12),np.int64(2)),(np.int64(10),np.int64(12),np.int64(2)),(np.int64(10),np.int64(12),np.int64(1)),(np.int64(10),np.int64(12),np.int64(0)),(np.int64(10),np.int64(13),np.int64(0)),(np.int64(11),np.int64(13),np.int64(0)),(12,13,0)]"
"(36,27)","[(10,10,0),(np.int64(9),np.int64(10),np.int64(0)),(np.int64(8),np.int64(10),np.int64(0)),(np.int64(8),np.int64(10),np.int64(1)),(np.int64(8),np.int64(10),np.int64(2)),(np.int64(8),np.int64(10),np.int64(3)),(np.int64(7),np.int64(10),np.int64(3)),(np.int64(7),np.int64(9),np.int64(3)),(np.int64(7),np.int64(8),np.int64(3)),(np.int64(8),np.int64(8),np.int64(3)),(np.int64(8),np.int64(7),np.int64(3)),(np.int64(9),np.int64(7),np.int64(3)),(np.int64(9),np.int64(6),np.int64(3)),(np.int64(9),np.int64(5),np.int64(3)),(np.int64(9),np.int64(4),np.int64(3)),(np.int64(9),np.int64(3),np.int64(3)),(np.int64(9),np.int64(3),np.int64(2)),(np.int64(9),np.int64(3),np.int64(1)),(9,3,0)]"
"(9,29)","[(3,14,0),(np.int64(3),np.int64(15),np.int64(0)),(np.int64(3),np.int64(15),np.int64(1)),(np.int64(3),np.int64(15),np.int64(2)),(np.int64(3),np.int64(15),np.int64(3)),(np.int64(3),np.int64(15),np.int64(4)),(np.int64(3),np.int64(14),np.int64(4)),(np.int64(3),np.int64(13),np.int64(4)),(np.int64(3),np.int64(12),np.int64(4)),(np.int64(3),np.int64(11),np.int64(4)),(np.int64(3),np.int64(10),np.int64(4)),(np.int64(3),np.int64(9),np.int64(4)),(np.int64(3),np.int64(8),np.int64(4)),(np.int64(3),np.int64(8),np.int64(5)),(np.int64(4),np.int64(8),np.int64(5)),(np.int64(5),np.int64(8),np.int64(5)),(np.int64(6),np.int64(8),np.int64(5)),(np.int64(7),np.int64(8),np.int64(5)),(np.int64(8),np.int64(8),np.int64(5)),(np.int64(9),np.int64(8),np.int64(5)),(np.int64(9),np.int64(8),np.int64(4)),(np.int64(10),np.int64(8),np.int64(4)),(np.int64(10),np.int64(8),np.int64(3)),(np.int64(11),np.int64(8),np.int64(3)),(np.int64(11),np.int64(8),np.int64(2)),(np.int64(12),np.int64(8),np.int64(2)),(np.int64(13),np.int64(8),np.int64(2)),(np.int64(13),np.int64(8),np.int64(1)),(np.int64(13),np.int64(8),np.int64(0)),(np.int64(14),np.int64(8),np.int64(0)),(15,8,0)]"
"(5,24)","[(6,2,0),(np.int64(5),np.int64(2),np.int64(0)),(np.int64(5),np.int64(3),np.int64(0)),(np.int64(5),np.int64(3),np.int64(1)),(np.int64(5),np.int64(4),np.int64(1)),(np.int64(6),np.int64(4),np.int64(1)),(np.int64(6),np.int64(5),np.int64(1)),(np.int64(7),np.int64(5),np.int64(1)),(np.int64(8),np.int64(5),np.int64(1)),(np.int64(8),np.int64(6),np.int64(1)),(np.int64(9),np.int64(6),np.int64(1)),(np.int64(10),np.int64(6),np.int64(1)),(np.int64(10),np.int64(7),np.int64(1)),(np.int64(10),np.int64(8),np.int64(1)),(np.int64(10),np.int64(9),np.int64(1)),(np.int64(10),np.int64(10),np.int64(1)),(np.int64(10),np.int64(11),np.int64(1)),(10,11,0)]"
"(34,31)","[(12,14,0),(np.int64(11),np.int64(14),np.int64(0)),(np.int64(10),np.int64(14),np.int64(0)),(np.int64(9),np.int64(14),np.int64(0)),(np.int64(8),np.int64(14),np.int64(0)),(np.int64(7),np.int64(14),np.int64(0)),(np.int64(6),np.int64(14),np.int64(0)),(np.int64(6),np.int64(14),np.int64(1)),(np.int64(6),np.int64(13),np.int64(1)),(np.int64(6),np.int64(13),np.int64(2)),(np.int64(5),np.int64(13),np.int64(2)),(np.int64(4),np.int64(13),np.int64(2)),(np.int64(3),np.int64(13),np.int64(2)),(np.int64(2),np.int64(13),np.int64(2)),(np.int64(2),np.int64(12),np.int64(2)),(np.int64(2),np.int64(11),np.int64(2)),(np.int64(1),np.int64(11),np.int64(2)),(np.int64(1),np.int64(10),np.int64(2)),(np.int64(1),np.int64(9),np.int64(2)),(np.int64(1),np.int64(8),np.int64(2)),(np.int64(0),np.int64(8),np.int64(2)),(np.int64(0),np.int64(7),np.int64(2)),(np.int64(0),np.int64(7),np.int64(1)),(np.int64(0),np.int64(7),np.int64(0)),(1,7,0)]"
"(36,15)","[(10,15,0),(np.int64(11),np.int64(15),np.int64(0)),(np.int64(12),np.int64(15),np.int64(0)),(np.int64(12),np.int64(16),np.int64(0)),(np.int64(13),np.int64(16),np.int64(0)),(np.int64(14),np.int64(16),np.int64(0)),(np.int64(15),np.int64(16),np.int64(0)),(15,15,0)]"
"(29,44)","[(16,1,0),(np.int64(15),np.int64(1),np.int64(0)),(np.int64(14),np.int64(1),np.int64(0)),(np.int64(14),np.int64(0),np.int64(0)),(np.int64(13),np.int64(0),np.int64(0)),(np.int64(12),np.int64(0),np.int64(0)),(np.int64(11),np.int64(0),np.int64(0)),(np.int64(10),np.int64(0),np.int64(0)),(np.int64(9),np.int64(0),np.int64(0)),(np.int64(8),np.int64(0),np.int64(0)),(np.int64(7),np.int64(0),np.int64(0)),(np.int64(6),np.int64(0),np.int64(0)),(np.int64(5),np.int64(0),np.int64(0)),(np.int64(5),np.int64(1),np.int64(0)),(np.int64(5),np.int64(1),np.int64(1)),(np.int64(5),np.int64(2),np.int64(1)),(np.int64(5),np.int64(2),np.int64(2)),(np.int64(5),np.int64(3),np.int64(2)),(np.int64(5),np.int64(4),np.int64(2)),(np.int64(5),np.int64(4),np.int64(3)),(np.int64(5),np.int64(5),np.int64(3)),(np.int64(5),np.int64(6),np.int64(3)),(np.int64(5),np.int64(6),np.int64(2)),(np.int64(4),np.int64(6),np.int64(2)),(np.int64(4),np.int64(6),np.int64(1)),(np.int64(4),np.int64(7),np.int64(1)),(np.int64(4),np.int64(8),np.int64(1)),(np.int64(3),np.int64(8),np.int64(1)),(np.int64(2),np.int64(8),np.int64(1)),(np.int64(1),np.int64(8),np.int64(1)),(np.int64(1),np.int64(9),np.int64(1)),(np.int64(1),np.int64(9),np.int64(0)),(np.int64(1),np.int64(10),np.int64(0)),(1,11,0)]"
"(47,36)","[(8,12,0),(np.int64(7),np.int64(12),np.int64(0)),(np.int64(7),np.int64(13),np.int64(0)),(np.int64(7),np.int64(13),np.int64(1)),(np.int64(7),np.int64(14),np.int64(1)),(np.int64(7),np.int64(15),np.int64(1)),(np.int64(6),np.int64(15),np.int64(1)),(6,15,0)]"
"(23,50)","[(8,1,0),(np.int64(7),np.int64(1),np.int64(0)),(np.int64(7),np.int64(2),np.int64(0)),(np.int64(7),np.int64(3),np.int64(0)),(np.int64(7),np.int64(3),np.int64(1)),(np.int64(7),np.int64(4),np.int64(1)),(np.int64(7),np.int64(4),np.int64(2)),(np.int64(6),np.int64(4),np.int64(2)),(np.int64(6),np.int64(5),np.int64(2)),(np.int64(5),np.int64(5),np.int64(2)),(np.int64(4),np.int64(5),np.int64(2)),(np.int64(3),np.int64(5),np.int64(2)),(np.int64(2),np.int64(5),np.int64(2)),(np.int64(2),np.int64(4),np.int64(2)),(np.int64(2),np.int64(4),np.int64(1)),(2,4,0)]"
"(1,13)","[(3,14,0),(np.int64(2),np.int64(14),np.int64(0)),(np.int64(2),np.int64(14),np.int64(1)),(np.int64(2),np.int64(14),np.int64(2)),(np.int64(3),np.int64(14),np.int64(2)),(np.int64(4),np.int64(14),np.int64(2)),(np.int64(5),np.int64(14),np.int64(2)),(np.int64(6),np.int64(14),np.int64(2)),(np.int64(7),np.int64(14),np.int64(2)),(np.int64(8),np.int64(14),np.int64(2)),(np.int64(9),np.int64(14),np.int64(2)),(np.int64(10),np.int64(14),np.int64(2)),(np.int64(11),np.int64(14),np.int64(2)),(np.int64(11),np.int64(13),np.int64(2)),(np.int64(11),np.int64(13),np.int64(3)),(np.int64(12),np.int64(13),np.int64(3)),(np.int64(12),np.int64(12),np.int64(3)),(np.int64(12),np.int64(12),np.int64(4)),(np.int64(12),np.int64(11),np.int64(4)),(np.int64(12),np.int64(10),np.int64(4)),(np.int64(12),np.int64(9),np.int64(4)),(np.int64(12),np.int64(8),np.int64(4)),(np.int64(12),np.int64(8),np.int64(3)),(np.int64(12),np.int64(7),np.int64(3)),(np.int64(12),np.int64(7),np.int64(2)),(np.int64(11),np.int64(7),np.int64(2)),(np.int64(11),np.int64(7),np.int64(1)),(np.int64(11),np.int64(7),np.int64(0)),(11,8,0)]"
